"Libellé","région","secteur","trimestre","nombre de salariés","date","part de salariés","part d’hommes","part de femmes","pop france métropolitaine","prop pop","pour 100000 habitants","pop région","estimation avec salariés et non salariés","pour 100000 habitants avec non salariés"
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2011-T3",71090,2011.5,97.5275216469567,74.0080713136318,25.9919286863682,63070344,18.7644405638535,600.6862535854951,11834797.213297945,72892.2449781316,615.9146089653958
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2011-T3",48774,2011.5,90.1449880537656,58.2836485601378,41.7163514398622,63070344,18.7644405638535,412.1236648245736,11834797.213297945,54106.16946436278,457.17867817428595
"Fabrication de matériels de transport","Île-de-France","Industrie","2011-T3",82853,2011.5,98.88354186718,79.6381737247353,20.3618262752647,63070344,18.7644405638535,700.0795916207487,11834797.213297945,83788.46311076502,707.9839358516233
"Hébergement et restauration","Île-de-France","Tertiaire","2011-T3",281794,2011.5,83.2542911480777,51.8510871155374,48.1489128844626,63070344,18.7644405638535,2381.063189518512,11834797.213297945,338473.8445478993,2859.9885443544367
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2011-T3",84355,2011.5,97.4136361028159,75.1400209064623,24.8599790935377,63070344,18.7644405638535,712.7709793389287,11834797.213297945,86594.65283789112,731.6952819486479
"Information et communication","Île-de-France","Tertiaire","2011-T3",382668,2011.5,88.5420667058806,67.6455575594651,32.3544424405349,63070344,18.7644405638535,3233.4140847806198,11834797.213297945,432187.7885131687,3651.839408178022
"Transports et entreposage","Île-de-France","Tertiaire","2011-T3",364985,2011.5,93.7115299333192,73.2478106080033,26.752262450877,63070344,18.7644405638535,3083.998765858798,11834797.213297945,389477.15426234796,3290.949115923333
"Activités financières et d'assurance","Île-de-France","Tertiaire","2011-T4",323565,2011.75,93.6750606278241,42.9260023853922,57.0739976146078,63070344,18.7644405638535,2734.0138928314914,11834797.213297945,345412.10630814603,2918.614489820158
"Activités immobilières","Île-de-France","Tertiaire","2011-T4",72971,2011.75,80.9033327097309,45.3980810861373,54.6019189138627,63070344,18.7644405638535,616.5800620394874,11834797.213297945,90195.29549148373,762.1194843130687
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2011-T4",974587,2011.75,85.245855562656,55.0917902567076,44.9082406298637,63070344,18.7644405638535,8234.92775106382,11834797.213297945,1143266.1371832618,9660.208929466511
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2011-T4",1148360,2011.75,93.8102897165811,31.7830081814805,68.2169918185195,63070344,18.7644405638535,9703.2503329222,11834797.213297945,1224130.1071230203,10343.481895469657
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2011-T4",5112,2011.75,41.3813574082675,71.2588539247562,28.7411460752438,63070344,18.7644405638535,43.194656468266295,11834797.213297945,12353.388869207765,104.38192261821872
"Autres activités de services","Île-de-France","Tertiaire","2011-T4",360674,2011.75,78.9764741872223,38.3046311225266,61.6953688774734,63070344,18.7644405638535,3047.5722861962986,11834797.213297945,456685.3657520633,3858.835580544781
"Commerce, réparation d'automobiles et de motocycles","Île-de-France","Tertiaire","2011-T4",697281,2011.75,86.4632088486895,53.0752949025437,46.9247050974563,63070344,18.7644405638535,5891.786630839044,11834797.213297945,806448.2099204076,6814.212321392862
"Construction","Île-de-France","Construction","2011-T4",277033,2011.75,76.1828913971963,88.349732295478,11.6502088424899,63070344,18.7644405638535,2340.8343633359186,11834797.213297945,363642.01321216254,3072.650985549318
"Fabrication d'autres produits industriels","Île-de-France","Industrie","2011-T4",173459,2011.75,91.9752138798998,70.5466278308938,29.4533721691062,63070344,18.7644405638535,1465.669388953248,11834797.213297945,188593.20101881016,1593.5482257938565
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2011-T4",70882,2011.75,97.5275216469567,74.0080713136318,25.9919286863682,63070344,18.7644405638535,598.9287245273184,11834797.213297945,72678.97184610949,614.1125237401208
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2011-T4",48761,2011.75,90.1449880537656,58.2836485601378,41.7163514398622,63070344,18.7644405638535,412.0138192584376,11834797.213297945,54091.748252179306,457.05682384992747
"Fabrication de matériels de transport","Île-de-France","Industrie","2011-T4",83511,2011.75,98.88354186718,79.6381737247353,20.3618262752647,63070344,18.7644405638535,705.6394671990194,11834797.213297945,84453.89234962038,713.6065859643575
"Hébergement et restauration","Île-de-France","Tertiaire","2011-T4",283124,2011.75,83.2542911480777,51.8510871155374,48.1489128844626,63070344,18.7644405638535,2392.3012359001227,11834797.213297945,340071.35980105837,2873.4870033847615
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2011-T4",84532,2011.75,97.4136361028159,75.1400209064623,24.8599790935377,63070344,18.7644405638535,714.2665689701656,11834797.213297945,86776.35224577811,733.2305799737194
"Information et communication","Île-de-France","Tertiaire","2011-T4",382919,2011.75,88.5420667058806,67.6455575594651,32.3544424405349,63070344,18.7644405638535,3235.5349491729385,11834797.213297945,432471.2695853169,3654.2347265517888
"Transports et entreposage","Île-de-France","Tertiaire","2011-T4",363243,2011.75,93.7115299333192,73.2478106080033,26.752262450877,63070344,18.7644405638535,3069.2794599965678,11834797.213297945,387618.2581358633,3275.242077661655
"Activités financières et d'assurance","Île-de-France","Tertiaire","2012-T1",323488,2012,93.6750606278241,42.9260023853922,57.0739976146078,63375971,18.7644405638535,2720.181780862947,11892146.410060031,345329.907268739,2903.8484337580217
"Activités immobilières","Île-de-France","Tertiaire","2012-T1",73139,2012,80.9033327097309,45.3980810861373,54.6019189138627,63375971,18.7644405638535,615.0193369476923,11892146.410060031,90402.95071948621,760.1903609512478
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2012-T1",968626,2012,85.245855562656,55.0917902567076,44.9082406298637,63375971,18.7644405638535,8145.089764288484,11892146.410060031,1136273.4218651329,9554.822003401461
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2012-T1",1153440,2012,93.8102897165811,31.7830081814805,68.2169918185195,63375971,18.7644405638535,9699.174230013348,11892146.410060031,1229545.2913371911,10339.136846625692
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2012-T1",5192,2012,41.3813574082675,71.2588539247562,28.7411460752438,63375971,18.7644405638535,43.659065579682775,11892146.410060031,12546.712638678935,105.50418911816608
"Autres activités de services","Île-de-France","Tertiaire","2012-T1",362180,2012,78.9764741872223,38.3046311225266,61.6953688774734,63375971,18.7644405638535,3045.5393627984413,11892146.410060031,458592.2627305608,3856.2614932374163
"Commerce, réparation d'automobiles et de motocycles","Île-de-France","Tertiaire","2012-T1",697328,2012,86.4632088486895,53.0752949025437,46.9247050974563,63375971,18.7644405638535,5863.769045175083,11892146.410060031,806502.56830084,6781.8082664924805
"Construction","Île-de-France","Construction","2012-T1",279898,2012,76.1828913971963,88.349732295478,11.6502088424899,63375971,18.7644405638535,2353.6373531629524,11892146.410060031,367402.7000900899,3089.456582701417
"Fabrication d'autres produits industriels","Île-de-France","Industrie","2012-T1",172874,2012,91.9752138798998,70.5466278308938,29.4533721691062,63375971,18.7644405638535,1453.682069149091,11892146.410060031,187957.16009504138,1580.5150190216384
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2012-T1",70973,2012,97.5275216469567,74.0080713136318,25.9919286863682,63375971,18.7644405638535,596.8056358603285,11892146.410060031,72772.27884136916,611.935611386421
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2012-T1",48848,2012,90.1449880537656,58.2836485601378,41.7163514398622,63375971,18.7644405638535,410.758481401453,11892146.410060031,54188.259441407165,455.66424741934895
"Fabrication de matériels de transport","Île-de-France","Industrie","2012-T1",83796,2012,98.88354186718,79.6381737247353,20.3618262752647,63375971,18.7644405638535,704.6331007925843,11892146.410060031,84742.1101810395,712.5888570405831
"Hébergement et restauration","Île-de-France","Tertiaire","2012-T1",284639,2012,83.2542911480777,51.8510871155374,48.1489128844626,63375971,18.7644405638535,2393.503999910502,11892146.410060031,341891.085822514,2874.9316904919283
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2012-T1",84834,2012,97.4136361028159,75.1400209064623,24.8599790935377,63375971,18.7644405638535,713.3615503441465,11892146.410060031,87086.37044454574,732.3015328071978
"Information et communication","Île-de-France","Tertiaire","2012-T1",382218,2012,88.5420667058806,67.6455575594651,32.3544424405349,63375971,18.7644405638535,3214.0371201338967,11892146.410060031,431679.55551529344,3629.95493521774
"Transports et entreposage","Île-de-France","Tertiaire","2012-T1",362680,2012,93.7115299333192,73.2478106080033,26.752262450877,63375971,18.7644405638535,3049.7438182664387,11892146.410060031,387017.47827408893,3254.3955054799503
"Activités financières et d'assurance","Île-de-France","Tertiaire","2012-T2",322965,2012.25,93.6750606278241,42.9260023853922,57.0739976146078,63375971,18.7644405638535,2715.783920443422,11892146.410060031,344771.59431276674,2899.1536298368387
"Activités immobilières","Île-de-France","Tertiaire","2012-T2",72855,2012.25,80.9033327097309,45.3980810861373,54.6019189138627,63375971,18.7644405638535,612.6312062418699,11892146.410060031,90051.91450072012,757.2385286523355
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2012-T2",972177,2012.25,85.245855562656,55.0917902567076,44.9082406298637,63375971,18.7644405638535,8174.9498070222,11892146.410060031,1140439.0202705474,9589.850149387712
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2012-T2",1150534,2012.25,93.8102897165811,31.7830081814805,68.2169918185195,63375971,18.7644405638535,9674.737934833347,11892146.410060031,1226447.5501312108,10313.088216721842
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2012-T2",5291,2012.25,41.3813574082675,71.2588539247562,28.7411460752438,63375971,18.7644405638535,44.491547762346215,11892146.410060031,12785.950803399508,107.51592153779214
"Autres activités de services","Île-de-France","Tertiaire","2012-T2",363074,2012.25,78.9764741872223,38.3046311225266,61.6953688774734,63375971,18.7644405638535,3053.0569291752204,11892146.410060031,459724.24539907125,3865.7802346780104
"Commerce, réparation d'automobiles et de motocycles","Île-de-France","Tertiaire","2012-T2",699098,2012.25,86.4632088486895,53.0752949025437,46.9247050974563,63375971,18.7644405638535,5878.652817531793,11892146.410060031,808549.681776697,6799.022261386837
"Construction","Île-de-France","Construction","2012-T2",280816,2012.25,76.1828913971963,88.349732295478,11.6502088424899,63375971,18.7644405638535,2361.3567334021955,11892146.410060031,368607.69504783413,3099.589277979411
"Fabrication d'autres produits industriels","Île-de-France","Industrie","2012-T2",172179,2012.25,91.9752138798998,70.5466278308938,29.4533721691062,63375971,18.7644405638535,1447.8378760485748,11892146.410060031,187201.52173261528,1574.1609233321765
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2012-T2",71413,2012.25,97.5275216469567,74.0080713136318,25.9919286863682,63375971,18.7644405638535,600.505556672166,11892146.410060031,73223.43354372362,615.7293310968746
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2012-T2",48656,2012.25,90.1449880537656,58.2836485601378,41.7163514398622,63375971,18.7644405638535,409.1439705017421,11892146.410060031,53975.269230697406,453.8732317072519
"Fabrication de matériels de transport","Île-de-France","Industrie","2012-T2",83857,2012.25,98.88354186718,79.6381737247353,20.3618262752647,63375971,18.7644405638535,705.14604435968,11892146.410060031,84803.79890986955,713.1075920670696
"Hébergement et restauration","Île-de-France","Tertiaire","2012-T2",285684,2012.25,83.2542911480777,51.8510871155374,48.1489128844626,63375971,18.7644405638535,2402.291311838616,11892146.410060031,343146.27637856756,2885.486476085484
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2012-T2",85088,2012.25,97.4136361028159,75.1400209064623,24.8599790935377,63375971,18.7644405638535,715.4974137218891,11892146.410060031,87347.1142276152,734.494104056143
"Information et communication","Île-de-France","Tertiaire","2012-T2",384880,2012.25,88.5420667058806,67.6455575594651,32.3544424405349,63375971,18.7644405638535,3236.4216410455138,11892146.410060031,434686.036049391,3655.2361622597678
"Transports et entreposage","Île-de-France","Tertiaire","2012-T2",360674,2012.25,93.7115299333192,73.2478106080033,26.752262450877,63375971,18.7644405638535,3032.875542928834,11892146.410060031,384876.866546346,3236.395292112815
"Activités financières et d'assurance","Île-de-France","Tertiaire","2012-T3",322111,2012.5,93.6750606278241,42.9260023853922,57.0739976146078,63375971,18.7644405638535,2708.602710504083,11892146.410060031,343859.93223934365,2891.4875446577003
"Activités immobilières","Île-de-France","Tertiaire","2012-T3",72487,2012.5,80.9033327097309,45.3980810861373,54.6019189138627,63375971,18.7644405638535,609.536727017424,11892146.410060031,89597.05066795276,753.4136191945898
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2012-T3",970702,2012.5,85.245855562656,55.0917902567076,44.9082406298637,63375971,18.7644405638535,8162.5466633916085,11892146.410060031,1138708.7308737615,9575.300299956643
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2012-T3",1153130,2012.5,93.8102897165811,31.7830081814805,68.2169918185195,63375971,18.7644405638535,9696.56746762319,11892146.410060031,1229214.8371823893,10336.358087069535
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2012-T3",5037,2012.5,41.3813574082675,71.2588539247562,28.7411460752438,63375971,18.7644405638535,42.35568438460365,11892146.410060031,12172.147835328544,102.3545070470344
"Autres activités de services","Île-de-France","Tertiaire","2012-T3",358520,2012.5,78.9764741872223,38.3046311225266,61.6953688774734,63375971,18.7644405638535,3014.762748772702,11892146.410060031,453957.97126887366,3817.29214908465
"Commerce, réparation d'automobiles et de motocycles","Île-de-France","Tertiaire","2012-T3",697459,2012.5,86.4632088486895,53.0752949025437,46.9247050974563,63375971,18.7644405638535,5864.870612507698,11892146.410060031,806654.0778292791,6783.082296623081
"Construction","Île-de-France","Construction","2012-T3",281428,2012.5,76.1828913971963,88.349732295478,11.6502088424899,63375971,18.7644405638535,2366.5029868950237,11892146.410060031,369411.0250196636,3106.34440816474
