"date","chomage","Libellé","idBank","Dernière mise à jour"
1995.5,9.5,"France métropolitaine","001515842","13/01/2023 12:00"
1995.75,9.6,"France métropolitaine","001515842","13/01/2023 12:00"
1996,9.9,"France métropolitaine","001515842","13/01/2023 12:00"
1996.25,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
1996.5,10.2,"France métropolitaine","001515842","13/01/2023 12:00"
1996.75,10.2,"France métropolitaine","001515842","13/01/2023 12:00"
1997,10.3,"France métropolitaine","001515842","13/01/2023 12:00"
1997.25,10.3,"France métropolitaine","001515842","13/01/2023 12:00"
1997.5,10.3,"France métropolitaine","001515842","13/01/2023 12:00"
1997.75,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
1998,9.9,"France métropolitaine","001515842","13/01/2023 12:00"
1998.25,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
1998.5,9.7,"France métropolitaine","001515842","13/01/2023 12:00"
1998.75,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
1999,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
1999.25,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
1999.5,9.5,"France métropolitaine","001515842","13/01/2023 12:00"
1999.75,9.1,"France métropolitaine","001515842","13/01/2023 12:00"
2000,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
2000.25,8.3,"France métropolitaine","001515842","13/01/2023 12:00"
2000.5,8,"France métropolitaine","001515842","13/01/2023 12:00"
2000.75,7.7,"France métropolitaine","001515842","13/01/2023 12:00"
2001,7.4,"France métropolitaine","001515842","13/01/2023 12:00"
2001.25,7.3,"France métropolitaine","001515842","13/01/2023 12:00"
2001.5,7.3,"France métropolitaine","001515842","13/01/2023 12:00"
2001.75,7.4,"France métropolitaine","001515842","13/01/2023 12:00"
2002,7.5,"France métropolitaine","001515842","13/01/2023 12:00"
2002.25,7.5,"France métropolitaine","001515842","13/01/2023 12:00"
2002.5,7.5,"France métropolitaine","001515842","13/01/2023 12:00"
2002.75,7.6,"France métropolitaine","001515842","13/01/2023 12:00"
2003,8,"France métropolitaine","001515842","13/01/2023 12:00"
2003.25,8.1,"France métropolitaine","001515842","13/01/2023 12:00"
2003.5,8,"France métropolitaine","001515842","13/01/2023 12:00"
2003.75,8.4,"France métropolitaine","001515842","13/01/2023 12:00"
2004,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
2004.25,8.4,"France métropolitaine","001515842","13/01/2023 12:00"
2004.5,8.5,"France métropolitaine","001515842","13/01/2023 12:00"
2004.75,8.5,"France métropolitaine","001515842","13/01/2023 12:00"
2005,8.3,"France métropolitaine","001515842","13/01/2023 12:00"
2005.25,8.5,"France métropolitaine","001515842","13/01/2023 12:00"
2005.5,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
2005.75,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
2006,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2006.25,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
2006.5,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
2006.75,8,"France métropolitaine","001515842","13/01/2023 12:00"
2007,8.2,"France métropolitaine","001515842","13/01/2023 12:00"
2007.25,7.8,"France métropolitaine","001515842","13/01/2023 12:00"
2007.5,7.6,"France métropolitaine","001515842","13/01/2023 12:00"
2007.75,7.2,"France métropolitaine","001515842","13/01/2023 12:00"
2008,6.9,"France métropolitaine","001515842","13/01/2023 12:00"
2008.25,7,"France métropolitaine","001515842","13/01/2023 12:00"
2008.5,7.1,"France métropolitaine","001515842","13/01/2023 12:00"
2008.75,7.4,"France métropolitaine","001515842","13/01/2023 12:00"
2009,8.3,"France métropolitaine","001515842","13/01/2023 12:00"
2009.25,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2009.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2009.75,9.2,"France métropolitaine","001515842","13/01/2023 12:00"
2010,9,"France métropolitaine","001515842","13/01/2023 12:00"
2010.25,8.9,"France métropolitaine","001515842","13/01/2023 12:00"
2010.5,8.9,"France métropolitaine","001515842","13/01/2023 12:00"
2010.75,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2011,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2011.25,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
2011.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2011.75,9,"France métropolitaine","001515842","13/01/2023 12:00"
2012,9.1,"France métropolitaine","001515842","13/01/2023 12:00"
2012.25,9.4,"France métropolitaine","001515842","13/01/2023 12:00"
2012.5,9.4,"France métropolitaine","001515842","13/01/2023 12:00"
2012.75,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
2013,10,"France métropolitaine","001515842","13/01/2023 12:00"
2013.25,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
2013.5,9.9,"France métropolitaine","001515842","13/01/2023 12:00"
2013.75,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
2014,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
2014.25,9.8,"France métropolitaine","001515842","13/01/2023 12:00"
2014.5,9.9,"France métropolitaine","001515842","13/01/2023 12:00"
2014.75,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
2015,10,"France métropolitaine","001515842","13/01/2023 12:00"
2015.25,10.2,"France métropolitaine","001515842","13/01/2023 12:00"
2015.5,10.1,"France métropolitaine","001515842","13/01/2023 12:00"
2015.75,9.9,"France métropolitaine","001515842","13/01/2023 12:00"
2016,9.9,"France métropolitaine","001515842","13/01/2023 12:00"
2016.25,9.7,"France métropolitaine","001515842","13/01/2023 12:00"
2016.5,9.6,"France métropolitaine","001515842","13/01/2023 12:00"
2016.75,9.7,"France métropolitaine","001515842","13/01/2023 12:00"
2017,9.3,"France métropolitaine","001515842","13/01/2023 12:00"
2017.25,9.2,"France métropolitaine","001515842","13/01/2023 12:00"
2017.5,9.2,"France métropolitaine","001515842","13/01/2023 12:00"
2017.75,8.7,"France métropolitaine","001515842","13/01/2023 12:00"
2018,8.9,"France métropolitaine","001515842","13/01/2023 12:00"
2018.25,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2018.5,8.6,"France métropolitaine","001515842","13/01/2023 12:00"
2018.75,8.4,"France métropolitaine","001515842","13/01/2023 12:00"
2019,8.4,"France métropolitaine","001515842","13/01/2023 12:00"
2019.25,8.2,"France métropolitaine","001515842","13/01/2023 12:00"
2019.5,8.1,"France métropolitaine","001515842","13/01/2023 12:00"
2019.75,7.9,"France métropolitaine","001515842","13/01/2023 12:00"
2020,7.6,"France métropolitaine","001515842","13/01/2023 12:00"
2020.25,7,"France métropolitaine","001515842","13/01/2023 12:00"
2020.5,8.8,"France métropolitaine","001515842","13/01/2023 12:00"
2020.75,7.8,"France métropolitaine","001515842","13/01/2023 12:00"
2021,8,"France métropolitaine","001515842","13/01/2023 12:00"
2021.25,7.7,"France métropolitaine","001515842","13/01/2023 12:00"
2021.5,7.8,"France métropolitaine","001515842","13/01/2023 12:00"
2021.75,7.2,"France métropolitaine","001515842","13/01/2023 12:00"
2022,7.1,"France métropolitaine","001515842","13/01/2023 12:00"
2022.25,7.2,"France métropolitaine","001515842","13/01/2023 12:00"
2022.5,7.1,"France métropolitaine","001515842","13/01/2023 12:00"
1982,5.6,"Île-de-France","001515843","13/01/2023 12:00"
1982.25,5.7,"Île-de-France","001515843","13/01/2023 12:00"
1982.5,5.7,"Île-de-France","001515843","13/01/2023 12:00"
1982.75,5.7,"Île-de-France","001515843","13/01/2023 12:00"
1983,5.6,"Île-de-France","001515843","13/01/2023 12:00"
1983.25,5.6,"Île-de-France","001515843","13/01/2023 12:00"
1983.5,5.8,"Île-de-France","001515843","13/01/2023 12:00"
1983.75,6,"Île-de-France","001515843","13/01/2023 12:00"
1984,6.2,"Île-de-France","001515843","13/01/2023 12:00"
1984.25,6.5,"Île-de-France","001515843","13/01/2023 12:00"
1984.5,6.7,"Île-de-France","001515843","13/01/2023 12:00"
1984.75,6.8,"Île-de-France","001515843","13/01/2023 12:00"
1985,6.9,"Île-de-France","001515843","13/01/2023 12:00"
1985.25,7,"Île-de-France","001515843","13/01/2023 12:00"
1985.5,7.2,"Île-de-France","001515843","13/01/2023 12:00"
1985.75,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1986,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1986.25,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1986.5,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1986.75,7.4,"Île-de-France","001515843","13/01/2023 12:00"
1987,7.5,"Île-de-France","001515843","13/01/2023 12:00"
1987.25,7.5,"Île-de-France","001515843","13/01/2023 12:00"
1987.5,7.5,"Île-de-France","001515843","13/01/2023 12:00"
1987.75,7.4,"Île-de-France","001515843","13/01/2023 12:00"
1988,7.4,"Île-de-France","001515843","13/01/2023 12:00"
1988.25,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1988.5,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1988.75,7.1,"Île-de-France","001515843","13/01/2023 12:00"
1989,6.9,"Île-de-France","001515843","13/01/2023 12:00"
1989.25,6.7,"Île-de-France","001515843","13/01/2023 12:00"
1989.5,6.6,"Île-de-France","001515843","13/01/2023 12:00"
1989.75,6.5,"Île-de-France","001515843","13/01/2023 12:00"
1990,6.5,"Île-de-France","001515843","13/01/2023 12:00"
1990.25,6.5,"Île-de-France","001515843","13/01/2023 12:00"
1990.5,6.4,"Île-de-France","001515843","13/01/2023 12:00"
1990.75,6.3,"Île-de-France","001515843","13/01/2023 12:00"
1991,6.4,"Île-de-France","001515843","13/01/2023 12:00"
1991.25,6.6,"Île-de-France","001515843","13/01/2023 12:00"
1991.5,6.9,"Île-de-France","001515843","13/01/2023 12:00"
1991.75,7,"Île-de-France","001515843","13/01/2023 12:00"
1992,7.1,"Île-de-France","001515843","13/01/2023 12:00"
1992.25,7.3,"Île-de-France","001515843","13/01/2023 12:00"
1992.5,7.6,"Île-de-France","001515843","13/01/2023 12:00"
1992.75,7.9,"Île-de-France","001515843","13/01/2023 12:00"
1993,8.2,"Île-de-France","001515843","13/01/2023 12:00"
1993.25,8.6,"Île-de-France","001515843","13/01/2023 12:00"
1993.5,8.9,"Île-de-France","001515843","13/01/2023 12:00"
1993.75,9.2,"Île-de-France","001515843","13/01/2023 12:00"
1994,9.3,"Île-de-France","001515843","13/01/2023 12:00"
1994.25,9.3,"Île-de-France","001515843","13/01/2023 12:00"
1994.5,9.2,"Île-de-France","001515843","13/01/2023 12:00"
1994.75,9.1,"Île-de-France","001515843","13/01/2023 12:00"
1995,8.9,"Île-de-France","001515843","13/01/2023 12:00"
1995.25,8.8,"Île-de-France","001515843","13/01/2023 12:00"
1995.5,8.7,"Île-de-France","001515843","13/01/2023 12:00"
1995.75,8.8,"Île-de-France","001515843","13/01/2023 12:00"
1996,9,"Île-de-France","001515843","13/01/2023 12:00"
1996.25,9.2,"Île-de-France","001515843","13/01/2023 12:00"
1996.5,9.2,"Île-de-France","001515843","13/01/2023 12:00"
1996.75,9.2,"Île-de-France","001515843","13/01/2023 12:00"
1997,9.3,"Île-de-France","001515843","13/01/2023 12:00"
1997.25,9.3,"Île-de-France","001515843","13/01/2023 12:00"
1997.5,9.4,"Île-de-France","001515843","13/01/2023 12:00"
1997.75,9.2,"Île-de-France","001515843","13/01/2023 12:00"
1998,9.1,"Île-de-France","001515843","13/01/2023 12:00"
1998.25,9,"Île-de-France","001515843","13/01/2023 12:00"
1998.5,8.9,"Île-de-France","001515843","13/01/2023 12:00"
1998.75,8.9,"Île-de-France","001515843","13/01/2023 12:00"
1999,8.9,"Île-de-France","001515843","13/01/2023 12:00"
1999.25,8.8,"Île-de-France","001515843","13/01/2023 12:00"
1999.5,8.5,"Île-de-France","001515843","13/01/2023 12:00"
1999.75,8.2,"Île-de-France","001515843","13/01/2023 12:00"
2000,7.8,"Île-de-France","001515843","13/01/2023 12:00"
2000.25,7.4,"Île-de-France","001515843","13/01/2023 12:00"
2000.5,7.1,"Île-de-France","001515843","13/01/2023 12:00"
2000.75,6.8,"Île-de-France","001515843","13/01/2023 12:00"
2001,6.5,"Île-de-France","001515843","13/01/2023 12:00"
2001.25,6.4,"Île-de-France","001515843","13/01/2023 12:00"
2001.5,6.5,"Île-de-France","001515843","13/01/2023 12:00"
2001.75,6.6,"Île-de-France","001515843","13/01/2023 12:00"
2002,6.8,"Île-de-France","001515843","13/01/2023 12:00"
2002.25,7.1,"Île-de-France","001515843","13/01/2023 12:00"
2002.5,7.2,"Île-de-France","001515843","13/01/2023 12:00"
2002.75,7.4,"Île-de-France","001515843","13/01/2023 12:00"
2003,7.9,"Île-de-France","001515843","13/01/2023 12:00"
2003.25,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2003.5,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2003.75,8.4,"Île-de-France","001515843","13/01/2023 12:00"
2004,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2004.25,8.5,"Île-de-France","001515843","13/01/2023 12:00"
2004.5,8.5,"Île-de-France","001515843","13/01/2023 12:00"
2004.75,8.6,"Île-de-France","001515843","13/01/2023 12:00"
2005,8.3,"Île-de-France","001515843","13/01/2023 12:00"
2005.25,8.4,"Île-de-France","001515843","13/01/2023 12:00"
2005.5,8.4,"Île-de-France","001515843","13/01/2023 12:00"
2005.75,8.4,"Île-de-France","001515843","13/01/2023 12:00"
2006,8.4,"Île-de-France","001515843","13/01/2023 12:00"
2006.25,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2006.5,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2006.75,7.5,"Île-de-France","001515843","13/01/2023 12:00"
2007,7.7,"Île-de-France","001515843","13/01/2023 12:00"
2007.25,7.4,"Île-de-France","001515843","13/01/2023 12:00"
2007.5,7.2,"Île-de-France","001515843","13/01/2023 12:00"
2007.75,6.6,"Île-de-France","001515843","13/01/2023 12:00"
2008,6.3,"Île-de-France","001515843","13/01/2023 12:00"
2008.25,6.4,"Île-de-France","001515843","13/01/2023 12:00"
2008.5,6.4,"Île-de-France","001515843","13/01/2023 12:00"
2008.75,6.5,"Île-de-France","001515843","13/01/2023 12:00"
2009,7.1,"Île-de-France","001515843","13/01/2023 12:00"
2009.25,7.6,"Île-de-France","001515843","13/01/2023 12:00"
2009.5,7.8,"Île-de-France","001515843","13/01/2023 12:00"
2009.75,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2010,8,"Île-de-France","001515843","13/01/2023 12:00"
2010.25,7.9,"Île-de-France","001515843","13/01/2023 12:00"
2010.5,7.9,"Île-de-France","001515843","13/01/2023 12:00"
2010.75,7.9,"Île-de-France","001515843","13/01/2023 12:00"
2011,7.8,"Île-de-France","001515843","13/01/2023 12:00"
2011.25,7.8,"Île-de-France","001515843","13/01/2023 12:00"
2011.5,7.9,"Île-de-France","001515843","13/01/2023 12:00"
2011.75,8,"Île-de-France","001515843","13/01/2023 12:00"
2012,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2012.25,8.2,"Île-de-France","001515843","13/01/2023 12:00"
2012.5,8.3,"Île-de-France","001515843","13/01/2023 12:00"
2012.75,8.5,"Île-de-France","001515843","13/01/2023 12:00"
2013,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2013.25,8.8,"Île-de-France","001515843","13/01/2023 12:00"
2013.5,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2013.75,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2014,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2014.25,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2014.5,8.8,"Île-de-France","001515843","13/01/2023 12:00"
2014.75,9,"Île-de-France","001515843","13/01/2023 12:00"
2015,8.8,"Île-de-France","001515843","13/01/2023 12:00"
2015.25,9,"Île-de-France","001515843","13/01/2023 12:00"
2015.5,8.9,"Île-de-France","001515843","13/01/2023 12:00"
2015.75,8.8,"Île-de-France","001515843","13/01/2023 12:00"
2016,8.8,"Île-de-France","001515843","13/01/2023 12:00"
2016.25,8.6,"Île-de-France","001515843","13/01/2023 12:00"
2016.5,8.5,"Île-de-France","001515843","13/01/2023 12:00"
2016.75,8.7,"Île-de-France","001515843","13/01/2023 12:00"
2017,8.3,"Île-de-France","001515843","13/01/2023 12:00"
2017.25,8.2,"Île-de-France","001515843","13/01/2023 12:00"
2017.5,8.3,"Île-de-France","001515843","13/01/2023 12:00"
2017.75,7.8,"Île-de-France","001515843","13/01/2023 12:00"
2018,8.1,"Île-de-France","001515843","13/01/2023 12:00"
2018.25,8,"Île-de-France","001515843","13/01/2023 12:00"
2018.5,7.8,"Île-de-France","001515843","13/01/2023 12:00"
2018.75,7.7,"Île-de-France","001515843","13/01/2023 12:00"
2019,7.6,"Île-de-France","001515843","13/01/2023 12:00"
2019.25,7.4,"Île-de-France","001515843","13/01/2023 12:00"
2019.5,7.4,"Île-de-France","001515843","13/01/2023 12:00"
2019.75,7.2,"Île-de-France","001515843","13/01/2023 12:00"
2020,7,"Île-de-France","001515843","13/01/2023 12:00"
2020.25,6.3,"Île-de-France","001515843","13/01/2023 12:00"
2020.5,8.3,"Île-de-France","001515843","13/01/2023 12:00"
2020.75,7.7,"Île-de-France","001515843","13/01/2023 12:00"
2021,7.7,"Île-de-France","001515843","13/01/2023 12:00"
2021.25,7.5,"Île-de-France","001515843","13/01/2023 12:00"
2021.5,7.6,"Île-de-France","001515843","13/01/2023 12:00"
2021.75,7.2,"Île-de-France","001515843","13/01/2023 12:00"
2022,7,"Île-de-France","001515843","13/01/2023 12:00"
2022.25,7,"Île-de-France","001515843","13/01/2023 12:00"
2022.5,6.9,"Île-de-France","001515843","13/01/2023 12:00"
1982,5.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1982.25,5.8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1982.5,5.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1982.75,6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1983,6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1983.25,6.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1983.5,6.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1983.75,6.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1984,7.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1984.25,7.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1984.5,7.8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1984.75,8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1985,8.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1985.25,8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1985.5,8.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1985.75,8.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1986,8.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1986.25,8.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1986.5,8.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1986.75,8.3,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1987,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1987.25,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1987.5,8.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1987.75,8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1988,7.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1988.25,7.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1988.5,7.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1988.75,7.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1989,7.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1989.25,7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1989.5,6.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1989.75,6.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1990,6.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1990.25,6.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1990.5,6.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1990.75,6.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1991,6.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1991.25,6.6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1991.5,6.8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1991.75,7.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1992,7.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1992.25,7.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1992.5,7.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1992.75,7.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1993,8.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1993.25,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1993.5,8.8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1993.75,9.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1994,9.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1994.25,9.3,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1994.5,9.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1994.75,9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1995,8.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1995.25,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1995.5,8.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1995.75,8.3,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1996,8.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1996.25,8.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1996.5,9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1996.75,9.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1997,9.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1997.25,9.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1997.5,9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1997.75,8.8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1998,8.6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1998.25,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1998.5,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1998.75,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1999,8.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1999.25,8.3,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1999.5,8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
1999.75,7.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2000,7.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2000.25,6.8,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2000.5,6.5,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2000.75,6.3,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2001,6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2001.25,5.9,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2001.5,6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2001.75,6.1,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2002,6.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2002.25,6.2,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2002.5,6.3,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2002.75,6.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2003,6.7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2003.25,7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2003.5,7,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2003.75,7.4,"Centre-Val de Loire","001515847","13/01/2023 12:00"
2004,7.6,"Centre-Val de Loire","001515847","13/01/2023 12:00"
